"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J8XNHTI5","journalArticle","2024","Liang, Decui; Cao, Wen; Zhang, Yinrunjie; Xu, Zeshui","A two-stage classification approach for AI technical service supplier selection based on multi-stakeholder concern","Information Sciences","","0020-0255","10.1016/j.ins.2023.119762","https://www.sciencedirect.com/science/article/pii/S0020025523013476","Artificial intelligence (AI) technology, which can help supply chains improve operational efficiency and reduce production costs, has gradually been adopted by many enterprises in recent years. In general, stakeholders in the supply chain have their own requirements for AI technical services. However, most traditional service supplier selection methods rarely explicitly consider the interest demands of multi-stakeholders and coordinate them, which may lead to unsatisfactory decision results. Therefore, to support the successful implementation of AI technology in supply chain management, this paper proposes a two-stage AI technical service supplier classification method that considers the requirements of multi-stakeholders. In the first stage, we identify the opinions of stakeholders via cluster analysis and determine group coordination needs while fully considering fairness concerns. Moreover, in the second stage, we evaluate and classify AI technical service suppliers based on the group opinions of stakeholders and decision makers' risk preferences. As AI technical service suppliers are mostly emerging internet enterprises, we construct a criteria system to help assess these suppliers in advance. To verify the practicability and effectiveness of our method, we conduct a case study on the automobile supply chain. Furthermore, this work can provide guidance for AI technical service suppliers to improve their enterprise construction.","2024-01-01","2026-01-27 17:42:18","2026-01-27 17:42:18","2026-01-27 17:42:18","119762","","","652","","Information Sciences","","","","","","","","","","","","","ScienceDirect","","","","","","","Group decision making; Supplier selection; Classification; Fair concern; Probabilistic linguistic term set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXFZML4M","journalArticle","2015","Kar, Arpan Kumar","A hybrid group decision support system for supplier selection using analytic hierarchy process, fuzzy set theory and neural network","Journal of Computational Science","","1877-7503","10.1016/j.jocs.2014.11.002","https://www.sciencedirect.com/science/article/pii/S1877750314001586","Within procurement literature; many studies focus on providing decision support to the supplier selection problem. However, studies on group decision support are yet to be explored extensively within supplier selection literature, despite its benefits. This study presents the application of a hybrid approach for group decision support for the supplier selection problem. fuzzy set theory, analytic hierarchy process and neural networks have been integrated to provide group decision support under consensus achievement. Discriminant analysis has been used for the purpose of supplier base rationalization, through which suppliers have been mapped to highly suitable and less suitable supplier classes. The proposed integrated approach has been further studied through two case studies and the proposed approach has been compared with another approach for group decision making under consensus and other approaches for prioritization using AHP, without consensus achievement. A very high accuracy in capturing the collective consensual preferences of the group was established across eight cross-validation tests from the two case studies, for the hybrid approach, even with extremely limited count of data sets which were used for training the hybrid model.","2015-01-01","2026-01-27 17:41:45","2026-01-27 17:41:45","2026-01-27 17:41:45","23-33","","","6","","Journal of Computational Science","","","","","","","","","","","","","ScienceDirect","","","","","","","Group decision making; Supplier selection; Vendor selection; Neural networks; Analytic hierarchy process; Fuzzy set theory; Hybrid methods; Multi-criteria decision analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2J8C425N","journalArticle","2024","Chen, Xingyi; Gong, Zaiwu; Wei, Guo","On incomplete matrix information completion methods and opinion evolution: Matrix factorization towards adjacency preferences","Engineering Applications of Artificial Intelligence","","0952-1976","10.1016/j.engappai.2024.108140","https://www.sciencedirect.com/science/article/pii/S0952197624002987","Completeness and consistency are widely acknowledged as indispensable prerequisites for applying fuzzy preference relations in resolving real-world problems. Interactions between decision-makers in the field of group decision-making can have a profound effect on preference changes, especially in situations of incomplete information. However, preference matrices generated using existing models often suffer from low consistency during opinion evolution, which further increases the risk of wrong decisions. To cope with these problems, this paper proposes an opinion evolution method under incomplete information. The method consists of two main components: (1) A preference prediction model based on matrix factorization algorithm and social trust networks under incomplete information, and (2) A model for decision-makers’ preference evolution under dynamic trust scenarios. In Part (1), to simplify the preference collection method and reduce the occurrence of inconsistent information, this paper presents the concept of a consistent adjacency fuzzy preference matrix. To advance the utilization of machine learning algorithms for consistent preference relations, this paper employs the matrix factorization method with stochastic gradient descent to predict missing preferences in adjacency fuzzy preference matrix. In Part (2), to address the shortcomings in past opinion evolution models, this paper simulates the change of decision-makers’ opinions in different stages of interactions under variable trust weights by using alternative ranking similarity and trust thresholds. To illustrate the practical application of the proposed model, this article uses the enterprise supplier selection problem as a case study. The model’s effectiveness and feasibility are then validated through a comparative analysis with existing methods.","2024-07-01","2026-01-27 17:40:29","2026-01-27 17:40:29","2026-01-27 17:40:29","108140","","","133","","Engineering Applications of Artificial Intelligence","On incomplete matrix information completion methods and opinion evolution","","","","","","","","","","","","ScienceDirect","","","","","","","Fuzzy preference relation; Additive consistency; Matrix factorization; Opinion evolution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9KELEEI","journalArticle","2021","Yu, Sumin; Du, Zhijiao; Xu, Xuanhua","Hierarchical Punishment-Driven Consensus Model for Probabilistic Linguistic Large-Group Decision Making with Application to Global Supplier Selection","Group Decision and Negotiation","","1572-9907","10.1007/s10726-020-09681-3","https://doi.org/10.1007/s10726-020-09681-3","Large-group decision making (LGDM) has attracted extensive attention and has been used to model complex decision problems. It is necessary to implement a consensus reaching process (CRP) due to the need to obtain a decision that is acceptable to the majority. The theory of probabilistic linguistic term sets (PLTSs) is very useful in addressing uncertain information in the decision-making process. In this paper, we develop a hierarchical punishment-driven consensus model for LGDM problems in the context of probabilistic linguistic information. The model has three stages. In the first stage, we define probabilistic linguistic large-group decision making. To improve the performance of PLTSs in the CRP, we redefine the rules governing their normalization and operations. In the second stage, the original large group is divided into several small subgroups by hierarchical clustering. In the third stage, we propose three levels of consensus measures and two adjustment strategies to refine the scope of measure and adjustment to the matrix element level. Then, a hierarchical punishment-driven consensus model is established that can provide guidance for adjustment and soften the human supervision of the CRP. Finally, a case study on global supplier selection illustrates the utility and applicability of the model, and a comparison with other linguistic models reveals its advantages.","2021-12-01","2026-01-27 17:40:02","2026-01-27 17:40:02","2026-01-27 17:40:02","1343-1372","","6","30","","Group Decis Negot","","","","","","","","en","","","","","Springer Link","","","","","","","Global supplier selection; Hard adjustment; Hierarchical clustering; Hierarchical punishment-driven consensus model (HPDCM); Probabilistic linguistic large-group decision making (PL-LGDM); Soft adjustment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IVC6EY3","journalArticle","2024","Guo, Jie; Wang, Zilong; Zhang, Zhiwen","A dual-level consensus model for large-scale group decision-making driven by trust relationships in social networks","Engineering Applications of Artificial Intelligence","","0952-1976","10.1016/j.engappai.2024.109033","https://www.sciencedirect.com/science/article/pii/S0952197624011916","In large-scale group decision-making, obtaining reasonable and reliable decision results is the research focus. To this end, a dual-level consensus model for large-scale group decision-making is constructed. In the model, we first presented a method for measuring the two-dimensional similarity between decision-makers. The method considered the opinion similarity at evaluation scales and ranking results level, which provided a more comprehensive measure of the opinion differences between decision-makers. A hierarchical clustering algorithm based on the two-dimensional similarity-trust matrix is proposed. By considering the two-dimensional similarity and trust relationships among decision-makers, the method contributed to the formation of subgroups with excellent cooperative and communicative atmospheres. Furthermore, we introduced a dual-level consensus measures method to comprehensively and accurately assess the group consensus level. To increase the efficiency of decision-making and the satisfaction of decision-makers, we proposed a personalized feedback adjustment mechanism for decision-makers. Additionally, for the subgroups that have not reached consensus, a social networks DeGroot model is constructed to adjust the opinion of subgroups. Finally, a case study of low-carbon supplier selection verified the feasibility and applicability of the model. The effectiveness and superiority of the model are demonstrated by comparative and simulation analysis. The analysis results show that the model is conducive to promoting cooperation and coordination among decision-makers and obtaining highly acceptable and quality decision results.","2024-10-01","2026-01-27 17:39:32","2026-01-27 17:39:32","2026-01-27 17:39:32","109033","","","136","","Engineering Applications of Artificial Intelligence","","","","","","","","","","","","","ScienceDirect","","","","","","","Large-scale group decision-making; Dual-level consensus model; Personalized feedback mechanism; Two-dimensional similarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPU4EEJW","journalArticle","2023","Zhou, Shengjia; Zhou, Junxing; Chen, Sichao","Outlier identification and group satisfaction of rating experts: density-based spatial clustering of applications with noise based on multi-objective large-scale group decision-making evaluation","Economic Research-Ekonomska Istraživanja","","1331-677X","10.1080/1331677X.2022.2078850","https://doi.org/10.1080/1331677X.2022.2078850","Group satisfaction is a trending issue in large-scale group decision-making (LSGDM) but most existing studies maximize the group satisfaction of LSGDM from the perspective of consensus. However, the clustering algorithm in LSGDM also has an impact on group satisfaction. Hence, this paper proposes a density-based spatial clustering of applications with noise (DBSCAN)-based LSGDM approach in an intuitionistic fuzzy set (IFS) environment. The DBSCAN algorithm is used to identify experts with outlier ratings that can reduce the time consumption and iterations of the LSGDM process and maximize the satisfaction of the group decision. An easy-to-use function is then provided to estimate group satisfaction. Finally, a numerical example of data centre supplier evaluation and comparative analysis is constructed to validate the rationality and feasibility of the proposed DBSCAN-based LSGDM approach in an IFS environment. The results demonstrate that the proposed method can effectively identify outliers in expert ratings and improve group satisfaction in the LSGDM process.","2023-12-31","2026-03-05 16:29:34","2026-03-05 16:29:34","2026-03-05 16:29:34","562-592","","1","36","","","Outlier identification and group satisfaction of rating experts","","","","","Routledge","","","","","","","Taylor and Francis+NEJM","","_eprint: https://doi.org/10.1080/1331677X.2022.2078850","","","","","large-scale group decision making; D81; data centre supplier evaluation; DBSCAN; group satisfaction; intuitionistic fuzzy sets; C44; C63; D79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
